time_iso8601,forks_cumulative
2024-03-04 00:00:00+00:00,36279
2024-03-05 00:00:00+00:00,36316
2024-03-06 00:00:00+00:00,36362
2024-03-07 00:00:00+00:00,36396
2024-03-08 00:00:00+00:00,36421
2024-03-09 00:00:00+00:00,36450
2024-03-10 00:00:00+00:00,36481
2024-03-11 00:00:00+00:00,36521
2024-03-12 00:00:00+00:00,36553
2024-03-13 00:00:00+00:00,36593
2024-03-14 00:00:00+00:00,36661
2024-03-15 00:00:00+00:00,36712
2024-03-16 00:00:00+00:00,36745
2024-03-17 00:00:00+00:00,36779
2024-03-18 00:00:00+00:00,36818
2024-03-19 00:00:00+00:00,36870
2024-03-20 00:00:00+00:00,36914
2024-03-21 00:00:00+00:00,36951
2024-03-22 00:00:00+00:00,36980
2024-03-23 00:00:00+00:00,37013
2024-03-24 00:00:00+00:00,37040
2024-03-25 00:00:00+00:00,37084
2024-03-26 00:00:00+00:00,37126
2024-03-27 00:00:00+00:00,37170
2024-03-28 00:00:00+00:00,37213
2024-03-29 00:00:00+00:00,37252
2024-03-30 00:00:00+00:00,37289
2024-03-31 00:00:00+00:00,37319
2024-04-01 00:00:00+00:00,37364
2024-04-02 00:00:00+00:00,37402
2024-04-03 00:00:00+00:00,37447
2024-04-04 00:00:00+00:00,37484
2024-04-05 00:00:00+00:00,37508
2024-04-06 00:00:00+00:00,37531
2024-04-07 00:00:00+00:00,37563
2024-04-08 00:00:00+00:00,37596
2024-04-09 00:00:00+00:00,37618
2024-04-10 00:00:00+00:00,37655
2024-04-11 00:00:00+00:00,37683
2024-04-12 00:00:00+00:00,37709
2024-04-13 00:00:00+00:00,37734
2024-04-14 00:00:00+00:00,37758
2024-04-15 00:00:00+00:00,37796
2024-04-16 00:00:00+00:00,37849
2024-04-17 00:00:00+00:00,37899
2024-04-18 00:00:00+00:00,37952
2024-04-19 00:00:00+00:00,37982
2024-04-20 00:00:00+00:00,38005
2024-04-21 00:00:00+00:00,38035
2024-04-22 00:00:00+00:00,38076
2024-04-23 00:00:00+00:00,38128
2024-04-24 00:00:00+00:00,38167
2024-04-25 00:00:00+00:00,38192
2024-04-26 00:00:00+00:00,38213
2024-04-27 00:00:00+00:00,38240
2024-04-28 00:00:00+00:00,38264
2024-04-29 00:00:00+00:00,38295
2024-04-30 00:00:00+00:00,38329
2024-05-01 00:00:00+00:00,38356
2024-05-02 00:00:00+00:00,38382
2024-05-03 00:00:00+00:00,38402
2024-05-04 00:00:00+00:00,38427
2024-05-05 00:00:00+00:00,38447
2024-05-06 00:00:00+00:00,38470
2024-05-07 00:00:00+00:00,38509
2024-05-08 00:00:00+00:00,38539
2024-05-09 00:00:00+00:00,38560
2024-05-10 00:00:00+00:00,38581
2024-05-11 00:00:00+00:00,38608
2024-05-12 00:00:00+00:00,38629
2024-05-13 00:00:00+00:00,38656
2024-05-14 00:00:00+00:00,38686
2024-05-15 00:00:00+00:00,38729
2024-05-16 00:00:00+00:00,38774
2024-05-17 00:00:00+00:00,38803
2024-05-18 00:00:00+00:00,38829
2024-05-19 00:00:00+00:00,38868
2024-05-20 00:00:00+00:00,38898
2024-05-21 00:00:00+00:00,38936
2024-05-22 00:00:00+00:00,38973
2024-05-23 00:00:00+00:00,38998
2024-05-24 00:00:00+00:00,39028
2024-05-25 00:00:00+00:00,39051
2024-05-26 00:00:00+00:00,39081
2024-05-27 00:00:00+00:00,39107
2024-05-28 00:00:00+00:00,39138
2024-05-29 00:00:00+00:00,39173
2024-05-30 00:00:00+00:00,39202
2024-05-31 00:00:00+00:00,39223
2024-06-01 00:00:00+00:00,39252
2024-06-02 00:00:00+00:00,39271
2024-06-03 00:00:00+00:00,39297
2024-06-04 00:00:00+00:00,39324
2024-06-05 00:00:00+00:00,39366
2024-06-06 00:00:00+00:00,39400
2024-06-07 00:00:00+00:00,39418
2024-06-08 00:00:00+00:00,39438
2024-06-09 00:00:00+00:00,39474
2024-06-10 00:00:00+00:00,39499
2024-06-11 00:00:00+00:00,39531
2024-06-12 00:00:00+00:00,39562
2024-06-13 00:00:00+00:00,39577
2024-06-14 00:00:00+00:00,39597
2024-06-15 00:00:00+00:00,39605
2024-06-16 00:00:00+00:00,39614
2024-06-17 00:00:00+00:00,39637
2024-06-18 00:00:00+00:00,39664
2024-06-19 00:00:00+00:00,39686
2024-06-20 00:00:00+00:00,39709
2024-06-21 00:00:00+00:00,39733
2024-06-22 00:00:00+00:00,39745
2024-06-23 00:00:00+00:00,39757
2024-06-24 00:00:00+00:00,39772
2024-06-25 00:00:00+00:00,39800
2024-06-26 00:00:00+00:00,39809
2024-06-27 00:00:00+00:00,39823
2024-06-28 00:00:00+00:00,39837
